"haiku_text","poet_name","latitude","longitude","location_type","location_name","poetry_type","keywords","season","keyword_id"
"名月や鶴脛高き遠干潟","詠人不知","40.826847","140.742697","句碑","松尾芭蕉句碑。青森県青森市安方２丁目７","俳句","名月","秋","3453"
"春浅き鰊の浦や雪五尺","違星北斗","43.196612","140.786582","句碑","違星北斗句碑(よいち水産博物館)。北海道余市郡余市町入舟町","俳句","春","春","420"
"塩鮏のあ幾と風ふく寒さかな","幸田露伴","43.203267","140.775579","句碑","幸田露伴句碑。北海道余市郡余市町浜中町","俳句","","",""
"鶯や昔本陣今番屋","水見悠悠子","43.264592","140.639193","句碑","水見悠悠子句碑。北海道古平郡古平町浜町","俳句","鶯","春","1043"
"月となる洞爺の水にむし通ふ","臼田亜浪","42.590491","140.838503","句碑","臼田亜浪句碑。北海道虻田郡洞爺湖町洞爺湖温泉","俳句","月","秋","2813"
"山笑い海ほほえゑでゐる日かな","嶋田摩耶子","43.248271","141.352763","句碑","嶋田一歩·摩耶子句碑。北海道石狩市弁天町","俳句","","",""
"石狩の冬が近づくポプラかな","嶋田一歩","43.248271","141.352763","句碑","嶋田一歩·摩耶子句碑。北海道石狩市弁天町","俳句","冬","冬","4133"
"先駆けの玫瑰の芽の真紅","有馬朗人","43.248378","141.353245","句碑","有馬朗人句碑。北海道石狩市弁天町","俳句","","",""
"わが橇の馬が大きく町かくす","高浜年尾","43.248235","141.353062","句碑","高浜年尾句碑。北海道石狩市弁天町","俳句","橇","冬","4391"
"俤の眼にちらつくやたま祭","井上伝蔵","43.247848","141.353347","句碑","井上伝蔵句碑。北海道石狩市弁天町３８","俳句","祭","夏","1637"
"たんぽぽの咲きつづきつつ北の国","山口青邨","43.484003","142.226096","句碑","山口青邨句碑。北海道芦別市野花南町","俳句","","",""
"鮭曳の唄よ日が落つ風の碑","原狐葉","44.125598","143.97072","句碑","原孤葉句碑。北海道北見市常呂町栄浦","俳句","鮭","秋","2880"
"蔓もどき情はもつれやすき哉","高浜虚子","35.694982","139.741056","句碑","高浜虚子句碑 三輪田学園。東京都千代田区九段北３丁目３","俳句","","",""
"発句也松尾桃青宿の春","松尾芭蕉","35.676346","139.77875","句碑","松尾芭蕉句碑。東京都中央区日本橋室町１丁目１２−１３","俳句","春","春","420"
"菊の花咲くや石屋の石の間","松尾芭蕉","35.676346","139.77875","句碑","松尾芭蕉句碑。東京都中央区八丁堀２丁目３０−１８","俳句","花","春","119"
"桜狩りきとくや日々に五里六里","松尾芭蕉","35.703497","139.757612","句碑","松尾芭蕉句碑文京本郷昌清寺。東京都文京区本郷１丁目８","俳句","桜狩","春","315"
"年の瀬や川の流れと人の身は","大高源吾","35.694013","139.789922","句碑","大高源吾句碑。東京都墨田区両国１丁目１１","俳句","","",""
"はこべらや焦土の色の雀かな","波郷","35.677676","139.826236","句碑","波郷句碑。東京都江東区北砂２丁目１","俳句","はこべ","春","39"
"志者らくハ花のうへ奈る月夜可那","松尾芭蕉","35.660317","139.703591","句碑","松尾芭蕉句碑。東京都渋谷区渋谷３丁目５−１２","俳句","月","秋","2813"
"動支無御代画尓とら婆ふしの山","有竹居正義","35.69252","139.734007","句碑","有竹居正義句碑。東京都新宿区市谷八幡町 金刀比羅宮","俳句","","",""
"見きわめのつきしの末也放し鷹","有楽居千秋","35.692545","139.733916","句碑","有楽居千秋句碑。東京都新宿区市谷八幡町金刀比羅宮","俳句","鷹","冬","4090"
"父母のしきりにこひし雉子の聲","松尾芭蕉","35.743706","139.614395","句碑","松尾芭蕉句碑。東京都練馬区高野台３丁目１０−３","俳句","雉","春","1031"
"空は太初の青さ妻より林檎受く","中村草田男","35.71134","139.571898","句碑","中村草田男句碑。東京都武蔵野市吉祥寺北町３丁目３−１","俳句","林檎","秋","3533"
"吹き起る秋風鶴を歩ましむ","石田 波郷","35.667886","139.550458","句碑","石田波郷との師弟句碑。東京都調布市深大寺元町５丁目１５−１","俳句","秋風","秋","3042"
"草や木や十一月の深大寺","星野 麥丘人","35.667886","139.550458","句碑","星野麥丘人。東京都調布市深大寺元町５丁目１５−１","俳句","十一月","冬","3941"
"ひょろひょろとなお露けしやをみなえし","松尾芭蕉","35.704126","139.468753","句碑","松尾芭蕉句碑。東京都国分寺市西恋ケ窪１丁目２７−１７","俳句","露","秋","3544"
"郭公や狭山が丘も深からず","斎藤俳小星","35.766536","139.441504","句碑","斎藤俳小星句碑。東京都東村山市多摩湖町３丁目１５−４６","俳句","郭公","夏","1413"
"麦の穂をたよりにつかむ別れかな","松尾芭蕉","35.524001","139.692485","句碑","川崎宿 松尾芭蕉句碑。神奈川県川崎市川崎区日進町９−１１","俳句","麦","夏","2195"
"二郎系食べて懺悔家路かな","詠人不知","35.524001","139.692485","句碑","二郎。神奈川県川崎市川崎区日進町９−１１","俳句","","",""
"ちちははのしきりに恋し雉の声","松尾芭蕉","35.533833","139.730057","句碑","松尾芭蕉句碑。神奈川県川崎市川崎区大師町４","俳句","雉","春","1031"
"あかあかと日は難面も秋の風","松尾芭蕉","35.535606","139.636804","句碑","松尾芭蕉句碑。神奈川県横浜市港北区綱島東１丁目８−２０","俳句","秋","秋","2943"
"あかあかと日は難面も秋の風","松尾芭蕉","35.535606","139.636804","句碑","松尾芭蕉句碑。神奈川県横浜市港北区綱島東１丁目８−２０","俳句","秋","秋","2943"
"横須賀や只帆檣の冬木立","正岡子規","35.282826","139.66011","句碑","正岡子規の文学碑。神奈川県横須賀市汐入町１丁目","俳句","冬木立","冬","4220"
"蓬莱に聞かばや伊勢の初便","松尾芭蕉","35.51161","139.325509","句碑","松尾芭蕉句碑愛川八菅神社。神奈川県愛甲郡愛川町八菅山１４３","俳句","蓬莱","暮・新年","4936"
"鎌倉を生きて出でけむ初松魚","松尾芭蕉","35.410542","139.532048","句碑","霊水池芭蕉句碑。神奈川県横浜市戸塚区矢部町２４４ 0002","俳句","","",""
"七里浜夕日漂ふ波の上に伊豆の山々果し知らすも","西田幾多郎","35.302646","139.524698","句碑","西田幾多郎記念歌碑。神奈川県鎌倉市稲村ガ崎３丁目１９","俳句","","",""
"うらやまし浮世の北の山桜","松尾芭蕉","35.611426","140.123539","句碑","松尾芭蕉句碑。千葉県千葉市中央区中央１丁目１６−５","俳句","山桜","春","338"
"君が代の久しかるべきためしにはかねてぞ植し呼塚の松","詠人不知","35.873989","139.981565","句碑","馬頭観音塔・呼塚の松句碑。千葉県柏市柏３７０−２","俳句","","",""
"霜枯の佐倉見上ぐる野道かな","正岡子規","35.72186","140.217034","句碑","正岡子規句碑。千葉県佐倉市城内町","俳句","霜枯","冬","4069"
"凄かりし月の団蔵七代目","高浜虚子","35.785617","140.321194","句碑","高浜虚子句碑。千葉県成田市成田１ 成田山新勝寺","俳句","月","秋","2813"
"観音のいらか見やりつ華の雲","松尾芭蕉","35.866787","140.34184","句碑","松尾芭蕉句碑成田滑川龍正院・夫婦松。千葉県成田市滑川１０９３−１","俳句","","",""
"初時雨猿簑欲しや九十九谷","松尾芭蕉","35.251917","139.988548","句碑","松尾芭蕉の碑。千葉県君津市西粟倉","俳句","初時雨","冬","3955"
"人殺す我かも知らず飛ぶ螢","前田普羅","35.44781","140.40236","句碑","前田普羅句碑 (白子自然公園)。千葉県長生郡白子町古所３２９１","俳句","","",""
"ゆく春や紫さむる筑波山","与謝蕪村","36.308249","139.885621","句碑","与謝蕪村句碑。茨城県結城市結城２４８６","俳句","春","春","420"
"崖急に梅ことごとく斜めなり","正岡子規","36.373755","140.452804","句碑","正岡子規句碑。茨城県水戸市常磐町１丁目３","俳句","梅","春","791"
"この里は気吹戸主の風寒し","松尾芭蕉","35.885651","140.624447","句碑","松尾芭蕉句碑。茨城県神栖市息栖","俳句","寒し","冬","3752"
"夏来ても只一つ葉のひとつかな","松尾芭蕉","36.291926","140.254536","句碑","松尾芭蕉句碑。茨城県笠間市泉","俳句","一つ葉","夏","1204"
"あらたふと青葉若葉の日の光里","松尾芭蕉","36.749186","139.580674","句碑","松尾芭蕉句碑。栃木県日光市久次良町１７８６","俳句","あら","冬","3635"
"飯貝や雨に泊まりて田螺聞く","松尾芭蕉","36.477876","140.020623","句碑","松尾芭蕉句碑。栃木県真岡市飯貝４７８","俳句","田螺","春","731"
"野を横に馬牽むけよほととぎす","松尾芭蕉","36.862574","140.116848","句碑","松尾芭蕉句碑大田原前田（野を横に）。栃木県大田原市黒羽向町","俳句","時鳥","夏","1697"
"夏山に足駄を拝む首途哉","松尾芭蕉","36.868073","140.102185","句碑","修験光明寺跡・松尾芭蕉句碑。栃木県大田原市余瀬６５","俳句","夏","夏","1263"
"湯をむすぶ誓も同じ石清水","松尾芭蕉","37.099811","139.999028","句碑","松尾芭蕉句碑那須温泉神社。栃木県那須郡那須町大島","俳句","清水","夏","1857"
"古池や蛙飛び込む水の音","松尾芭蕉","36.273864","139.765878","句碑","松尾芭蕉句碑。栃木県小山市間々田２３２９","俳句","蛙","春","174"
"古池や蛙飛び込む水の音","松尾芭蕉","36.273864","139.765878","句碑","松尾芭蕉句碑。栃木県小山市間々田２３２９","俳句","蛙","春","174"
"さまさまな事思ひ足す桜かな","松尾芭蕉","36.183295","139.587093","句碑","松尾芭蕉句碑 円照寺。埼玉県羽生市弥勒１５６８","俳句","桜","春","308"
"遘菜にきかはや伊勢の初便","松尾芭蕉","36.175616","139.549776","句碑","松尾芭蕉句碑 古城天満宮。埼玉県羽生市東５丁目７−７","俳句","","",""
"古池や蛙飛び込む水の音","松尾芭蕉","36.17599","139.536914","句碑","松尾芭蕉句碑 観音寺薬師堂。埼玉県羽生市北１丁目１０−２４","俳句","蛙","春","174"
"砧うつ隣に寒き旅寝哉","正岡子規","35.923777","139.485029","句碑","正岡子規句碑。埼玉県川越市大手町５","俳句","砧","秋","2758"
"名月の花かと見えて綿はたけ","松尾芭蕉","36.021654","139.406872","句碑","松尾芭蕉句碑。埼玉県東松山市上野本１２６７","俳句","名月","秋","3453"
"原中や物にもつかず啼雲雀","松尾芭蕉","36.002144","139.510099","句碑","石戸宿 松尾芭蕉句碑。埼玉県北本市石戸宿４丁目２３８","俳句","雲雀","春","90"
"原中や物にもつかず啼雲雀","松尾芭蕉","36.002144","139.510098","句碑","松尾芭蕉句碑。埼玉県北本市石戸宿４丁目２３８","俳句","雲雀","春","90"
"秋の野や草の中行く風のおと","松尾芭蕉","36.205077","139.316016","句碑","松尾芭蕉句碑２基。埼玉県深谷市宮ケ谷戸１８１","俳句","秋の野","秋","2993"
"大雨に獅子をふりこむ祭可南","村上鬼城","36.33401","138.99546","句碑","村上鬼城句碑。群馬県高崎市並榎町３６４−１","俳句","祭","夏","1637"
"涅槃會や皺手合する数珠の音","松尾芭蕉","36.230007","138.739304","句碑","永寿寺本堂 松尾芭蕉句碑。群馬県甘楽郡下仁田町東野牧４２３","俳句","","",""
"百年のけしきを庭の落ち葉かな","松尾芭蕉","36.384659","138.883007","句碑","松尾芭蕉句碑。群馬県高崎市下室田町９１９","俳句","","",""
"しばらくは花の上なる月夜かな","松尾芭蕉","36.652083","139.029637","句碑","松尾芭蕉句碑。群馬県沼田市白岩町３７８ 0033","俳句","月","秋","2813"
"開帳に逢ふや雀もおや子連れ","小林一茶","36.661517","138.188874","句碑","小林一茶句碑。長野県長野市長野元善町","俳句","開帳","春","170"
"春風や牛に引かれて善光寺","小林一茶","36.661517","138.188874","句碑","小林一茶句碑。長野県長野市長野元善町","俳句","春","春","420"
"おく霜や浅間の峰にあかねさす","伊東深水","36.4043","138.469505","句碑","伊東深水句碑。長野県小諸市甲","俳句","霜","冬","4066"
"涼しさや直に野松の枝の形","松尾芭蕉","36.272917","138.412023","句碑","松尾芭蕉句碑・大日如来坐像。長野県佐久市御馬寄","俳句","涼し","夏","2412"
"刈かけし田面の鶴や里の秋","松尾芭蕉","36.268775","138.455214","句碑","松尾芭蕉句碑。長野県佐久市平塚２１０","俳句","秋","秋","2943"
"馬をさへなかむる雪のあした哉","松尾芭蕉","36.36158","138.638993","句碑","松尾芭蕉句碑。長野県北佐久郡軽井沢町軽井沢","俳句","雪","冬","4033"
"おもい出す木曽や四月のさくら狩り","松尾芭蕉","35.855432","137.711589","句碑","松尾芭蕉句碑・あら町の経塚碑。長野県木曽郡木曽町新開","俳句","花見","春","129"
"勢ひあり氷消えては瀧津魚","松尾芭蕉","35.54039","138.890327","句碑","松尾芭蕉句碑 田原の滝。山梨県都留市上谷４丁目２−２０５２","俳句","氷","冬","4288"
"夕立たむ駒岳の雲田に染美つ亞山","武藤亜山","35.788501","138.370608","句碑","水車小屋と武藤亜山句碑。山梨県北杜市武川町三吹２５６９","俳句","夕立","夏","2386"
"ほとゝきす横たふ聲や水の上","松尾芭蕉","35.643752","139.100989","句碑","松尾芭蕉句碑 鏡渡橋東詰。山梨県上野原市上野原","俳句","鱚","夏","2552"
"馬ほくほく我を絵に見る夏野かな","松尾芭蕉","35.607466","138.993668","句碑","松尾芭蕉句碑 鳥沢橋梁。山梨県大月市猿橋町藤崎","俳句","夏野","夏","1350"
"草臥れて宿かるころや藤の花","松尾芭蕉","35.607466","138.993668","句碑","松尾芭蕉句碑 鳥沢橋梁。山梨県大月市猿橋町藤崎","俳句","花","春","119"
"山さとは万歳おそし梅の花","松尾芭蕉","35.660105","138.73408","句碑","松尾芭蕉句碑 (勝沼の芭蕉塚)。山梨県甲州市勝沼町勝沼２１００","俳句","万歳","暮・新年","4941"
"冬なのにバイクで行ったらいと寒し","詠人不知","35.478909","138.410667","句碑","句碑の里。山梨県南巨摩郡身延町久成","俳句","寒し","冬","3752"
"どんみりと樗や雨の花曇り","松尾芭蕉","35.122423","138.915309","句碑","松尾芭蕉句碑。静岡県三島市大宮町２丁目１","俳句","花曇","春","142"
"目にかかる時やことさら五月富士","松尾芭蕉","35.170404","138.685022","句碑","源太坂 松尾芭蕉句碑。静岡県富士市今泉９丁目７−１４ スカイハイム 緑ケ丘 B","俳句","五月富士","夏","1591"
"やはらかにたけよ今年の手作麦","松尾芭蕉","34.832672","138.176166","句碑","松尾芭蕉句碑。静岡県島田市本通３丁目 静銀島田支店前","俳句","今年","暮・新年","4565"
"田植えと共に旅の朝起","松尾芭蕉","34.832672","138.176166","句碑","松尾芭蕉句碑。静岡県島田市本通３丁目 静銀島田支店前","俳句","田植","夏","2076"
"稗しごことこぼれ太陽のふところに","波月","34.830623","138.154976","句碑","田中波月句碑。静岡県島田市河原１丁目１５−１５","俳句","稗","秋","3370"
"天の川濱名の橋の十文字子規","正岡子規","34.68888","137.604403","句碑","正岡子規句碑「天の川」。静岡県浜松市中央区舞阪町弁天島２６６９","俳句","天の川","秋","3281"
"鴨すでに一連とぶやそこの空","原田濱人","34.694945","137.594468","句碑","原田濱人句碑。静岡県浜松市中央区舞阪町弁天島４３１ 0214","俳句","鴨","冬","3747"
"馬に寝て残夢月遠し茶のけぶり","松尾芭蕉","34.805932","138.085215","句碑","芭蕉芭蕉句碑 「馬に寝て」。静岡県掛川市八坂 Unnamed Road","俳句","月","秋","2813"
"ごを焚いて手拭あぶる寒さ哉","松尾芭蕉","34.771173","137.384795","句碑","松尾芭蕉句碑。愛知県豊橋市湊町６","俳句","","",""
"寒けれど二人旅寝ぞたのもしき","松尾芭蕉","34.771173","137.384795","句碑","松尾芭蕉句碑。愛知県豊橋市湊町６","俳句","","",""
"寒けれと二人旅ねそたのもしき","松尾芭蕉","34.771852","137.3847","句碑","松尾芭蕉句碑 旅寝塚。愛知県豊橋市湊町７ 湊町公園","俳句","","",""
"道のべの木槿は馬に喰われけり","松尾芭蕉","34.683198","137.439622","句碑","木槿塚 芭蕉句碑。愛知県豊橋市小松原町坪尻","俳句","木槿","秋","3472"
"冬の日や馬上に氷る影法師","松尾芭蕉","34.681966","137.316011","句碑","松尾芭蕉句碑 影法師塚。愛知県豊橋市杉山町新々田１１５","俳句","冬の日","冬","4158"
"春ながら名古屋にも似ぬ空の色","坪井杜国","34.622143","137.097262","句碑","杜国屋敷跡。愛知県田原市保美町下地２０−２","俳句","春","春","420"
"鷹ひとつ見つけてうれし伊良虞崎","松尾芭蕉","34.588657","137.029434","句碑","松尾芭蕉句碑公園。愛知県田原市伊良湖町宮下","俳句","鷹","冬","4090"
"月いまし紙の如しや霧過ぐる","岡田耿陽","34.806503","137.252901","句碑","岡田耿陽句碑。愛知県蒲郡市三谷町若宮","俳句","月","秋","2813"
"波ゆきて月の映えれる渚かな","岡田耿陽","34.806503","137.252901","句碑","岡田耿陽句碑。愛知県蒲郡市三谷町若宮","俳句","月","秋","2813"
"漂えるもののかたちや夜光虫","岡田耿陽","34.81633","137.248191","句碑","岡田耿陽句碑。愛知県蒲郡市三谷町六舗３７","俳句","虫","秋","3251"
"笠寺やもらぬ岩屋も春の雨","松尾芭蕉","35.099076","136.936228","句碑","松尾芭蕉句碑 春雨塚。愛知県名古屋市南区笠寺町上新町","俳句","春の雨","春","425"
"かさ寺や夕日こほるゝ晴しくれ","素堂","35.099076","136.936228","句碑","松尾芭蕉句碑 春雨塚。愛知県名古屋市南区笠寺町上新町","俳句","","",""
"大悲のこのは鰭となる池","蝶羽","35.099076","136.936228","句碑","松尾芭蕉句碑 春雨塚。愛知県名古屋市南区笠寺町上新町","俳句","","",""
"かさ寺や浮世の雨を峰の月","亀世","35.099076","136.936228","句碑","松尾芭蕉句碑 春雨塚。愛知県名古屋市南区笠寺町上新町","俳句","月","秋","2813"
"桜紅葉いまを御旗の色にして","巌谷小波","34.896719","136.919942","句碑","巌谷小波句碑。愛知県半田市雁宿町３丁目２０","俳句","桜紅葉","秋","2879"
"あらたふと青葉若葉の日の光","松尾芭蕉","35.365684","136.61998","句碑","松尾芭蕉句碑①。岐阜県大垣市錦町３８","俳句","あら","冬","3635"
"いざさらば雪見にころぶところまで","松尾芭蕉","35.398913","137.28073","句碑","松尾芭蕉句碑。岐阜県瑞浪市釜戸町６７３","俳句","蚋","夏","2516"
"天人も居り世包みの浦の夏","白童子","34.822995","136.58717","句碑","松島十湖句碑「天人も」。三重県鈴鹿市寺家町","俳句","夏","夏","1263"
"雪嶺の大三角を鎌と呼ぶ","山口誓子","35.02016","136.419134","句碑","山口誓子句碑。三重県三重郡菰野町菰野","俳句","雪","冬","4033"
"松檜左右に開き青嶺見す","山口誓子","35.045633","136.479041","句碑","山口誓子 句碑「松檜」。三重県三重郡菰野町千草","俳句","","",""
"山中に只咲いて居る桜哉","天春静堂","35.052503","136.475226","句碑","天春静堂「山中に」句碑。三重県三重郡菰野町杉谷","俳句","桜","春","308"
"松頼もさくら吹雪も濠を越す","土生暁帝","35.064936","136.697792","句碑","土生暁帝句碑。三重県桑名市吉之丸","俳句","吹雪","冬","4003"
"宮人よ我名を散らせ落葉川","松尾芭蕉","35.134992","136.623482","句碑","多度大社 松尾芭蕉句碑。三重県桑名市多度町多度１６８１","俳句","落葉","冬","4360"
"乞食の敷根はにくし花菫","日置てい女","35.082682","136.552301","句碑","日置てい女「風は」句碑。三重県いなべ市大安町門前５１１ 0281","俳句","花","春","119"
"注連引くと見る横雲や初日の出","日置てい女","35.079074","136.556232","句碑","日置てい女(俳号：梅仙)「注連引くと」句碑(徳善寺)。三重県いなべ市大安町梅戸６７４","俳句","初日","暮・新年","4717"
"何の木の花とはしらすにほひかな","松尾芭蕉","34.485652","136.710017","句碑","何木塚。三重県伊勢市岡本１丁目１７","俳句","花","春","119"
"何事のおはしますかは知らねどもかたじけなさに涙こぼるる","西行法師","34.485652","136.710017","句碑","何木塚。三重県伊勢市岡本１丁目１７","俳句","","",""
"手ばなかむおとさへ梅のにほひかな","松尾芭蕉","34.786922","136.16247","句碑","松尾芭蕉句碑伊賀一之宮。三重県伊賀市一之宮","俳句","梅","春","791"
"五月雨も瀬ふみ尋ねぬ見馴川","松尾芭蕉","34.77896","136.085967","句碑","松尾芭蕉句碑。三重県伊賀市西山","俳句","五月雨","夏","1586"
"月と日の間に二見の朝ぼらけ","松島十湖","34.508384","136.784186","句碑","松島十湖句碑「月と日の」。三重県伊勢市二見町茶屋","俳句","鰡","秋","3613"
"うたがふな潮の花も浦の春","松尾芭蕉","34.508378","136.784029","句碑","松尾芭蕉句碑伊勢二見茶屋「うたがふな」。三重県伊勢市二見町茶屋","俳句","春","春","420"
"夜は花の上に音あり山の水","可涼園桃乙","34.0918","136.201532","句碑","可涼園桃乙句碑 馬越峠。三重県北牟婁郡紀北町相賀","俳句","花","春","119"
"鎖明けて月さし入れよ浮御堂","松尾芭蕉","35.111553","135.922051","句碑","松尾芭蕉句碑 堅田十六夜の弁。滋賀県大津市本堅田１丁目１８−１８","俳句","月","秋","2813"
"やすやすと出でていざよふ月の雲","松尾芭蕉","35.111553","135.922051","句碑","松尾芭蕉句碑 堅田十六夜の弁。滋賀県大津市本堅田１丁目１８−１８","俳句","月","秋","2813"
"一本の大夏木とはここらしき","高野曽十","35.279542","136.016679","句碑","曽十・はる師弟句碑。滋賀県高島市鵜川","俳句","夏","夏","1263"
"世にふさき句会重ねて虫を聞く","上原はる","35.279542","136.016679","句碑","曽十・はる師弟句碑。滋賀県高島市鵜川","俳句","虫","秋","3251"
"菜畠に花見顔なる雀哉","松尾芭蕉","35.005827","136.097844","句碑","松尾芭蕉句碑湖南岩根小学校前（川畔碑）。滋賀県湖南市岩根","俳句","花見","春","129"
"こんにゃくのさしみもすこし梅の花","松尾芭蕉","35.080597","136.320183","句碑","松尾芭蕉句碑。滋賀県東近江市永源寺高野町５２７ 0212","俳句","梅","春","791"
"はがれたる身にはきぬたのひびきかな","詠人不知","34.999557","136.208852","句碑","松尾芭蕉句碑。滋賀県蒲生郡日野町別所","俳句","","",""
"浪華津にさく夜の雨や花の春","西山宗因","34.695631","135.512266","句碑","西山宗因『浪華津に さく夜の雨や 花の春』句碑。大阪府大阪市北区天神橋２丁目１","俳句","春","春","420"
"舟渡御ふなとぎょへ見せて浪速の土性骨どしょっぽね","北山河","34.69674","135.512972","句碑","北山河句碑。大阪府大阪市北区天神橋２丁目１","俳句","","",""
"しら菊の目に立て見る塵もなし","松尾芭蕉","34.701749","135.504017","句碑","松尾芭蕉句碑（太融寺）。大阪府大阪市北区太融寺町３","俳句","菊","秋","2739"
"春風や堤長うして家遠し","与謝蕪村","34.721805","135.517336","句碑","与謝蕪村生誕地の碑・句碑。大阪府大阪市都島区毛馬町３丁目７−１３","俳句","春","春","420"
"しら梅にあくる夜ばかりとなりにけり","与謝蕪村","34.721805","135.517336","句碑","与謝蕪村生誕地の碑・句碑。大阪府大阪市都島区毛馬町３丁目７−１３","俳句","鳧","夏","2556"
"梅の香の立ちのぼりてや月のかさ","与謝蕪村","34.721805","135.517336","句碑","与謝蕪村生誕地の碑・句碑。大阪府大阪市都島区毛馬町３丁目７−１３","俳句","月","秋","2813"
"一輪を五つにわけて梅ちりぬ","与謝蕪村","34.721805","135.517336","句碑","与謝蕪村生誕地の碑・句碑。大阪府大阪市都島区毛馬町３丁目７−１３","俳句","梅","春","791"
"天地の恵みをしるや華の時","乕丸","34.68071","135.533206","句碑","猫間川をたたえる句碑。大阪府大阪市中央区森ノ宮中央１丁目１４−１０ 鵲森ノ宮ハイツ","俳句","","",""
"旅に病むで夢は枯野をかけめぐる","松尾芭蕉","34.680138","135.499518","句碑","松尾芭蕉句碑。大阪府大阪市中央区久太郎町４丁目１−１１","俳句","枯野","冬","3873"
"行春の島は人住む煙かな？","生田花朝","34.653009","135.517325","句碑","生田花朝句碑。大阪府大阪市天王寺区四天王寺１丁目１１","俳句","春","春","420"
"飯蛸や春の景色は淡路より","生田花朝","","句碑","生田花朝句碑。","俳句","","飯蛸","春","817"
"餅花の柳芽をふく二月かな","生田花朝","","句碑","生田花朝句碑。","俳句","","二月","春","763"
"春はやきこぶしのうれひさきみちてたゞにひと木はすべなきものを","折口信夫","34.657425","135.497504","句碑","折口信夫 歌碑。","俳句","","",""
"ふる池や蛙飛込む水のおと","松尾芭蕉","34.797203","135.508611","句碑","松尾芭蕉句碑。","俳句","蛙","春","174"
"丘の上に来て風は秋雲は秋","下村非文","34.825718","135.509954","句碑","下村非文句碑「丘の上に来て風は秋雲は秋」。","俳句","秋","秋","2943"
"菊の香にくらがり登る節句かな","松尾芭蕉","34.671609","135.654972","句碑","松尾芭蕉句碑 暗峠。","俳句","菊","秋","2739"
"大和川砂にわたせる板橋を遠くおもへと月見草咲く沙白き新大和川わが町にさかひ少女の浄かれと添ふ橋一つ越え大阪に続くより近きこころに作れ都も","与謝蕪村","34.587828","135.498378","句碑","浅香山緑道 与謝野晶子歌碑。","俳句","","",""
"独り句の推敲をして遅き日を","高濱虚子","34.991667","135.763433","句碑","高浜虚子句碑。","俳句","","",""
"千年の昔の園もかくやありし木の下かげに乱れさく萩","湯川秀樹","35.024021","135.767356","句碑","湯川秀樹歌碑。","俳句","","",""
"半日は神を友にや年忘","松尾芭蕉","35.036565","135.761137","句碑","松尾芭蕉句碑 上御霊神社。","俳句","年忘","暮・新年","4891"
"千早振神のめぐみ深くして八十ぢに満つる幸を得にけり","新村出","35.036567","135.761244","句碑","新村出歌碑。","俳句","","",""
"通ひ路は二条寺町夕詠","井原西鶴","35.013345","135.767344","句碑","井原西鶴歌碑。","俳句","","",""
